nSamples	s_insert	e_insert	d_insert	s_read	e_read	d_read
501	2018-10-02 19:07:19.473245	2018-10-02 19:07:20.988332	0:00:01.515087	2018-10-02 19:07:20.988332	2018-10-02 19:07:21.886383	0:00:00.898051
502	2018-10-02 19:07:22.016391	2018-10-02 19:07:23.380469	0:00:01.364078	2018-10-02 19:07:23.380469	2018-10-02 19:07:24.323523	0:00:00.943054
503	2018-10-02 19:07:24.427529	2018-10-02 19:07:25.776606	0:00:01.349077	2018-10-02 19:07:25.776606	2018-10-02 19:07:27.159685	0:00:01.383079
504	2018-10-02 19:07:27.249690	2018-10-02 19:07:28.742776	0:00:01.493086	2018-10-02 19:07:28.742776	2018-10-02 19:07:29.708831	0:00:00.966055
505	2018-10-02 19:07:29.797836	2018-10-02 19:07:31.065908	0:00:01.268072	2018-10-02 19:07:31.065908	2018-10-02 19:07:32.179972	0:00:01.114064
506	2018-10-02 19:07:32.308980	2018-10-02 19:07:33.708060	0:00:01.399080	2018-10-02 19:07:33.708060	2018-10-02 19:07:34.583110	0:00:00.875050
507	2018-10-02 19:07:34.684115	2018-10-02 19:07:35.824181	0:00:01.140066	2018-10-02 19:07:35.824181	2018-10-02 19:07:36.800236	0:00:00.976055
508	2018-10-02 19:07:36.887241	2018-10-02 19:07:37.835296	0:00:00.948055	2018-10-02 19:07:37.835296	2018-10-02 19:07:38.801351	0:00:00.966055
509	2018-10-02 19:07:38.898356	2018-10-02 19:07:39.874412	0:00:00.976056	2018-10-02 19:07:39.874412	2018-10-02 19:07:40.831467	0:00:00.957055
510	2018-10-02 19:07:40.917472	2018-10-02 19:07:43.692631	0:00:02.775159	2018-10-02 19:07:43.692631	2018-10-02 19:07:44.618684	0:00:00.926053
511	2018-10-02 19:07:44.721690	2018-10-02 19:07:45.727747	0:00:01.006057	2018-10-02 19:07:45.727747	2018-10-02 19:07:46.634799	0:00:00.907052
512	2018-10-02 19:07:46.737805	2018-10-02 19:07:47.773864	0:00:01.036059	2018-10-02 19:07:47.773864	2018-10-02 19:07:48.676916	0:00:00.903052
513	2018-10-02 19:07:48.778922	2018-10-02 19:07:49.723976	0:00:00.945054	2018-10-02 19:07:49.723976	2018-10-02 19:07:50.655029	0:00:00.931053
514	2018-10-02 19:07:50.739034	2018-10-02 19:07:51.665087	0:00:00.926053	2018-10-02 19:07:51.665087	2018-10-02 19:07:52.644143	0:00:00.979056
515	2018-10-02 19:07:52.723147	2018-10-02 19:07:53.701203	0:00:00.978056	2018-10-02 19:07:53.701203	2018-10-02 19:07:54.670259	0:00:00.969056
516	2018-10-02 19:07:54.767264	2018-10-02 19:07:55.810324	0:00:01.043060	2018-10-02 19:07:55.810324	2018-10-02 19:07:56.718376	0:00:00.908052
517	2018-10-02 19:07:56.796380	2018-10-02 19:07:57.791437	0:00:00.995057	2018-10-02 19:07:57.791437	2018-10-02 19:07:58.763493	0:00:00.972056
518	2018-10-02 19:07:58.852498	2018-10-02 19:07:59.858555	0:00:01.006057	2018-10-02 19:07:59.858555	2018-10-02 19:08:00.788609	0:00:00.930054
519	2018-10-02 19:08:00.873613	2018-10-02 19:08:01.882671	0:00:01.009058	2018-10-02 19:08:01.882671	2018-10-02 19:08:02.798724	0:00:00.916053
520	2018-10-02 19:08:02.889729	2018-10-02 19:08:03.890786	0:00:01.001057	2018-10-02 19:08:03.890786	2018-10-02 19:08:04.871842	0:00:00.981056
521	2018-10-02 19:08:04.981848	2018-10-02 19:08:06.050910	0:00:01.069062	2018-10-02 19:08:06.050910	2018-10-02 19:08:06.967962	0:00:00.917052
522	2018-10-02 19:08:07.060967	2018-10-02 19:08:09.416102	0:00:02.355135	2018-10-02 19:08:09.416102	2018-10-02 19:08:10.364156	0:00:00.948054
523	2018-10-02 19:08:10.461162	2018-10-02 19:08:13.667345	0:00:03.206183	2018-10-02 19:08:13.667345	2018-10-02 19:08:14.504393	0:00:00.837048
524	2018-10-02 19:08:14.596398	2018-10-02 19:08:17.654573	0:00:03.058175	2018-10-02 19:08:17.654573	2018-10-02 19:08:18.561625	0:00:00.907052
525	2018-10-02 19:08:18.662631	2018-10-02 19:08:23.305896	0:00:04.643265	2018-10-02 19:08:23.305896	2018-10-02 19:08:23.933932	0:00:00.628036
526	2018-10-02 19:08:24.023938	2018-10-02 19:08:27.250122	0:00:03.226184	2018-10-02 19:08:27.250122	2018-10-02 19:08:28.053168	0:00:00.803046
527	2018-10-02 19:08:28.148173	2018-10-02 19:08:32.838442	0:00:04.690269	2018-10-02 19:08:32.838442	2018-10-02 19:08:33.711492	0:00:00.873050
528	2018-10-02 19:08:33.810497	2018-10-02 19:08:38.418761	0:00:04.608264	2018-10-02 19:08:38.418761	2018-10-02 19:08:39.260809	0:00:00.842048
529	2018-10-02 19:08:39.358815	2018-10-02 19:08:44.059083	0:00:04.700268	2018-10-02 19:08:44.059083	2018-10-02 19:08:45.152146	0:00:01.093063
530	2018-10-02 19:08:45.283153	2018-10-02 19:08:51.523510	0:00:06.240357	2018-10-02 19:08:51.523510	2018-10-02 19:08:52.614573	0:00:01.091063
531	2018-10-02 19:08:52.712578	2018-10-02 19:08:57.869873	0:00:05.157295	2018-10-02 19:08:57.869873	2018-10-02 19:08:58.805927	0:00:00.936054
532	2018-10-02 19:08:58.889932	2018-10-02 19:09:02.869159	0:00:03.979227	2018-10-02 19:09:02.869159	2018-10-02 19:09:03.793212	0:00:00.924053
533	2018-10-02 19:09:03.878217	2018-10-02 19:09:07.046398	0:00:03.168181	2018-10-02 19:09:07.046398	2018-10-02 19:09:07.889446	0:00:00.843048
534	2018-10-02 19:09:08.026454	2018-10-02 19:09:10.244581	0:00:02.218127	2018-10-02 19:09:10.244581	2018-10-02 19:09:11.140632	0:00:00.896051
535	2018-10-02 19:09:11.224637	2018-10-02 19:09:14.304813	0:00:03.080176	2018-10-02 19:09:14.304813	2018-10-02 19:09:15.250868	0:00:00.946055
536	2018-10-02 19:09:15.334872	2018-10-02 19:09:19.802128	0:00:04.467256	2018-10-02 19:09:19.802128	2018-10-02 19:09:20.408163	0:00:00.606035
537	2018-10-02 19:09:20.506168	2018-10-02 19:09:24.037370	0:00:03.531202	2018-10-02 19:09:24.037370	2018-10-02 19:09:25.352445	0:00:01.315075
538	2018-10-02 19:09:25.444451	2018-10-02 19:09:29.267669	0:00:03.823218	2018-10-02 19:09:29.267669	2018-10-02 19:09:30.074715	0:00:00.807046
539	2018-10-02 19:09:30.208723	2018-10-02 19:09:35.115004	0:00:04.906281	2018-10-02 19:09:35.115004	2018-10-02 19:09:36.229067	0:00:01.114063
540	2018-10-02 19:09:36.331073	2018-10-02 19:09:43.314473	0:00:06.983400	2018-10-02 19:09:43.314473	2018-10-02 19:09:44.494540	0:00:01.180067
541	2018-10-02 19:09:44.646549	2018-10-02 19:09:49.991855	0:00:05.345306	2018-10-02 19:09:49.991855	2018-10-02 19:09:51.284929	0:00:01.293074
542	2018-10-02 19:09:51.389935	2018-10-02 19:09:59.871420	0:00:08.481485	2018-10-02 19:09:59.871420	2018-10-02 19:10:01.162494	0:00:01.291074
543	2018-10-02 19:10:01.251499	2018-10-02 19:10:04.331675	0:00:03.080176	2018-10-02 19:10:04.331675	2018-10-02 19:10:05.362734	0:00:01.031059
544	2018-10-02 19:10:05.456739	2018-10-02 19:10:06.567803	0:00:01.111064	2018-10-02 19:10:06.567803	2018-10-02 19:10:07.507856	0:00:00.940053
545	2018-10-02 19:10:07.602862	2018-10-02 19:10:08.585918	0:00:00.983056	2018-10-02 19:10:08.585918	2018-10-02 19:10:09.516971	0:00:00.931053
546	2018-10-02 19:10:09.599976	2018-10-02 19:10:13.981227	0:00:04.381251	2018-10-02 19:10:13.981227	2018-10-02 19:10:15.135293	0:00:01.154066
547	2018-10-02 19:10:15.224298	2018-10-02 19:10:19.101520	0:00:03.877222	2018-10-02 19:10:19.101520	2018-10-02 19:10:19.856563	0:00:00.755043
548	2018-10-02 19:10:19.966569	2018-10-02 19:10:22.087690	0:00:02.121121	2018-10-02 19:10:22.087690	2018-10-02 19:10:23.090748	0:00:01.003058
